category,repos,candidate_files,avg_score,high_confidence,medium_confidence,low_or_worse
evaluation,76,15834,2.7644309713275232,73,14029,1732
adrs,6,54,2.0,0,27,27
views,53,4590,1.5381263616557734,50,773,3767
arch_overview,87,2657,1.4053443733534061,455,57,2145
interface,81,3514,1.253272623790552,45,877,2592
deployment,79,4733,1.1867737164589056,11,1741,2981
context,41,269,0.724907063197026,0,38,231
quality,67,925,0.6443243243243243,31,45,849
stakeholders,40,93,0.3333333333333333,0,8,85
