repo_name,iso_family,layer
UA-EdgeHEMS,Interface,Device
UA-EdgeHEMS,Interface,Edge
NanoLLM,Supporting,Device
NanoLLM,Supporting,Edge
kura,Data,Cross-cutting
edgehog,Supporting,Cross-cutting
edgehog-device-runtime,Supporting,Device
edgehog-device-runtime,Supporting,Fog
edgen,Supporting,Device
edgen,Supporting,Fog
shifu,Interface,Cross-cutting
evio,Supporting,Edge
evio,Supporting,Fog
emlearn,Supporting,Device
emlearn,Supporting,Fog
nn-comp,Data,Device
nn-comp,Data,Fog
GPT-Telegramus,Data,Edge
GPT-Telegramus,Data,Cloud
fabedge,Supporting,Edge
fabedge,Supporting,Fog
fledge,Data,Device
fledge,Data,Edge
pipy,Interface,Edge
pipy,Interface,Cloud
trusted-connector,Supporting,Edge
trusted-connector,Supporting,Cloud
solo-server,Supporting,Edge
solo-server,Supporting,Cloud
LiteRT,Data,Device
LiteRT,Data,Fog
inngest,Supporting,Fog
inngest,Supporting,Cloud
AiCSD,Supporting,Edge
AiCSD,Supporting,Fog
compage,Supporting,Fog
compage,Supporting,Cloud
AISonobuoy,Data,Device
AISonobuoy,Data,Edge
BirdsEye,Supporting,Edge
BirdsEye,Supporting,Fog
jevois,Supporting,Device
jevois,Supporting,Edge
DeepStack,Supporting,Device
DeepStack,Supporting,Fog
AI-on-the-edge-device,Data,Device
AI-on-the-edge-device,Data,Fog
SydneyQt,Interface,Cross-cutting
keylime,Supporting,Cross-cutting
kubeedge,Data,Cross-cutting
edge-home-orchestration-go,Supporting,Device
edge-home-orchestration-go,Supporting,Fog
ekuiper,Data,Device
ekuiper,Data,Fog
eve,Supporting,Edge
eve,Supporting,Cloud
TPI-LLM,Supporting,Edge
TPI-LLM,Supporting,Cloud
hal-9100,Interface,Edge
hal-9100,Interface,Cloud
loxilb,Interface,Edge
loxilb,Interface,Cloud
luos_engine,Data,Device
luos_engine,Data,Fog
macchina.io,Interface,Cross-cutting
microflow-rs,Data,Device
microflow-rs,Data,Edge
tokay-lite-sdk,Data,Device
tokay-lite-sdk,Data,Fog
mindspore,Data,Cross-cutting
xsai,Interface,Device
xsai,Interface,Fog
montithings,Supporting,Device
montithings,Supporting,Fog
nabto-embedded-sdk,Interface,Device
nabto-embedded-sdk,Interface,Edge
nanomq,Data,Device
nanomq,Data,Fog
edgerunner,Interface,Device
edgerunner,Interface,Fog
ai-edge,Supporting,Edge
ai-edge,Supporting,Fog
microshift,Supporting,Edge
microshift,Supporting,Cloud
model_server,Data,Cross-cutting
openvino_testdrive,Data,Device
openvino_testdrive,Data,Fog
executorch,Supporting,Edge
executorch,Supporting,Fog
rhel-edge-automation-arch,Supporting,Edge
rhel-edge-automation-arch,Supporting,Fog
redpanda-edge-agent,Data,Edge
redpanda-edge-agent,Data,Cloud
viseron,Data,Device
viseron,Data,Fog
salt,Supporting,Edge
salt,Supporting,Cloud
fedn,Supporting,Edge
fedn,Supporting,Cloud
ModelAssistant,Supporting,Device
ModelAssistant,Supporting,Fog
piccolo,Data,Device
piccolo,Data,Edge
simpleiot,Data,Cross-cutting
MaixPy,Supporting,Device
MaixPy,Supporting,Edge
fogflow,Supporting,Edge
fogflow,Supporting,Cloud
edgeai-gst-apps,Data,Edge
edgeai-gst-apps,Data,Fog
thin-edge.io,Data,Cross-cutting
flogo,Supporting,Edge
flogo,Supporting,Cloud
saf,Supporting,Device
saf,Supporting,Fog
edge-infer,Supporting,Device
edge-infer,Supporting,Fog
WasmEdge,Data,Cross-cutting
self,Supporting,Device
self,Supporting,Fog
Vitis-AI,Supporting,Cross-cutting
yomo,Supporting,Edge
yomo,Supporting,Fog
kantv,Data,Edge
kantv,Data,Fog
ztachip,Data,Device
ztachip,Data,Edge
auritus,Supporting,Device
auritus,Supporting,Edge
open-horizon,Data,Edge
open-horizon,Data,Cloud
smart-social-distancing,Data,Cross-cutting
magistrala,Supporting,Cross-cutting
supermq,Supporting,Cross-cutting
aXeleRate,Supporting,Device
aXeleRate,Supporting,Fog
zilla,Data,Cross-cutting
heartkit,Data,Device
heartkit,Data,Fog
sleepkit,Data,Device
sleepkit,Data,Fog
ai8x-synthesis,Supporting,Device
ai8x-synthesis,Supporting,Fog
ai8x-training,Supporting,Device
ai8x-training,Supporting,Fog
aws-iot-fleetwise-edge,Data,Edge
aws-iot-fleetwise-edge,Data,Fog
dem,Supporting,Edge
dem,Supporting,Fog
azure-iot-edge-identity-translation-lite,Supporting,Cross-cutting
edge-aio-in-a-box,Data,Cross-cutting
azure-iotedge,Data,Device
azure-iotedge,Data,Fog
iotedge,Supporting,Cross-cutting
iotedge-eflow,Supporting,Cross-cutting
iotedge-lorawan-starterkit,Supporting,Cross-cutting
KAN,Supporting,Cross-cutting
baetyl,Interface,Cross-cutting
Olares,Supporting,Device
Olares,Supporting,Fog
JAMScript,Interface,Device
JAMScript,Interface,Fog
