iso_family,Device,Edge,Fog,Cloud,Cross-cutting
Data,12.52,9.63,12.33,2.89,5.39
Interface,1.93,2.5,1.93,1.35,2.12
Supporting,10.21,9.63,12.91,6.17,6.94
Transducer,0.77,0.77,0.0,0.0,0.0
