capability,n_records,R1_vs_R2,R1_vs_R3,R2_vs_R3
capability_1,99,0.7516722408026756,0.7766400555362721,0.8779929577464789
capability_2,99,0.8820425531914894,0.9302079661614382,0.9008181666388378
capability_3,99,0.8789942378208486,0.9302571327932371,0.9135673127291776
