capability,n_records,R1_vs_R2,R1_vs_R3,R2_vs_R3,metric,value
macro_average,99.0,0.8375696772716713,0.8790350514969824,0.8974594790381648,,
,,,,,overall_macro_kappa,0.8713547359356061
,,,,,R1_vs_R2,0.8375696772716713
,,,,,R1_vs_R3,0.8790350514969824
,,,,,R2_vs_R3,0.8974594790381648
