pair,left_rater,right_rater,n_fragments,n_attributes,macro_kappa,macro_observed_agreement,exact_set_agreement,mean_jaccard_similarity
R1_vs_R2,R1,R2,400,9,0.8201889639725697,0.9727777777777779,0.8375,0.8954166666666665
R1_vs_R3,R1,R3,400,9,0.816381039005752,0.9700000000000001,0.855,0.8895833333333333
R2_vs_R3,R2,R3,400,9,0.9112613997839486,0.9794444444444443,0.8925,0.9302083333333334
OVERALL_MACRO_AVERAGE,ALL,ALL,400,9,0.84927713425409,0.9740740740740742,0.8616666666666667,0.9050694444444444
